2146,,,,,
All IDs for Ezh2,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
113,ENSG00000121281,113,OTTHUMG00000133172,ADCY7,adenylate cyclase 7
114,ENSG00000155897,114,OTTHUMG00000164756,ADCY8,adenylate cyclase 8 (brain)
116,ENSG00000141433,116,OTTHUMG00000131479,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary)
117,ENSG00000078549,117,OTTHUMG00000023884,ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
119,ENSG00000075340,119,OTTHUMG00000129710,ADD2,adducin 2 (beta)
133,ENSG00000148926,133,OTTHUMG00000165907,ADM,adrenomedullin
136,ENSG00000170425,136,OTTHUMG00000059140,ADORA2B,adenosine A2b receptor
146,ENSG00000171873,146,OTTHUMG00000031779,ADRA1D,adrenoceptor alpha 1D
148,ENSG00000120907,148,OTTHUMG00000099459,ADRA1A,adrenoceptor alpha 1A
150,ENSG00000150594,150,OTTHUMG00000019050,ADRA2A,adrenoceptor alpha 2A
151,ENSG00000222040,151,OTTHUMG00000154375,ADRA2B,adrenoceptor alpha 2B
152,ENSG00000184160,152,OTTHUMG00000159830,ADRA2C,adrenoceptor alpha 2C
153,ENSG00000043591,153,OTTHUMG00000019079,ADRB1,adrenoceptor beta 1
155,ENSG00000188778,155,OTTHUMG00000164028,ADRB3,adrenoceptor beta 3
157,ENSG00000100077,157,OTTHUMG00000150280,ADRBK2,"adrenergic, beta, receptor kinase 2"
165,ENSG00000106624,165,OTTHUMG00000023362,AEBP1,AE binding protein 1
176,ENSG00000157766,176,OTTHUMG00000171989,ACAN,aggrecan
181,ENSG00000159723,181,OTTHUMG00000137509,AGRP,agouti related protein homolog (mouse)
185,ENSG00000144891,185,OTTHUMG00000159503,AGTR1,"angiotensin II receptor, type 1"
190,ENSG00000169297,190,OTTHUMG00000021323,NR0B1,"nuclear receptor subfamily 0, group B, member 1"
197,ENSG00000145192,197,OTTHUMG00000156605,AHSG,alpha-2-HS-glycoprotein
202,ENSG00000112297,202,OTTHUMG00000015302,AIM1,absent in melanoma 1
204,ENSG00000004455,204,OTTHUMG00000004131,AK2,adenylate kinase 2
217,ENSG00000111275,217,OTTHUMG00000169603,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial)
229,ENSG00000136872,229,OTTHUMG00000020378,ALDOB,"aldolase B, fructose-bisphosphate"
238,ENSG00000171094,238,OTTHUMG00000152034,ALK,anaplastic lymphoma receptor tyrosine kinase
240,ENSG00000012779,240,OTTHUMG00000018081,ALOX5,arachidonate 5-lipoxygenase
246,ENSG00000161905,246,OTTHUMG00000090746,ALOX15,arachidonate 15-lipoxygenase
249,ENSG00000162551,249,OTTHUMG00000002949,ALPL,"alkaline phosphatase, liver/bone/kidney"
257,ENSG00000156150,257,OTTHUMG00000011650,ALX3,ALX homeobox 3
272,ENSG00000133805,272,OTTHUMG00000165682,AMPD3,adenosine monophosphate deaminase 3
273,ENSG00000078053,273,OTTHUMG00000023725,AMPH,amphiphysin
274,ENSG00000136717,274,OTTHUMG00000131465,BIN1,bridging integrator 1
286,ENSG00000029534,286,OTTHUMG00000150281,ANK1,"ankyrin 1, erythrocytic"
288,ENSG00000151150,288,OTTHUMG00000018288,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)"
290,ENSG00000166825,290,OTTHUMG00000149814,ANPEP,alanyl (membrane) aminopeptidase
322,ENSG00000166313,322,OTTHUMG00000165454,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
334,ENSG00000084234,334,OTTHUMG00000165767,APLP2,amyloid beta (A4) precursor-like protein 2
338,ENSG00000084674,338,OTTHUMG00000090785,APOB,apolipoprotein B (including Ag(x) antigen)
348,ENSG00000130203,348,OTTHUMG00000128901,APOE,apolipoprotein E
357,ENSG00000146950,357,OTTHUMG00000021121,SHROOM2,shroom family member 2
359,ENSG00000167580,359,OTTHUMG00000169709,AQP2,aquaporin 2 (collecting duct)
361,ENSG00000171885,361,OTTHUMG00000131955,AQP4,aquaporin 4
362,ENSG00000161798,362,OTTHUMG00000169710,AQP5,aquaporin 5
367,ENSG00000169083,367,OTTHUMG00000021740,AR,androgen receptor
388,ENSG00000143878,388,OTTHUMG00000090755,RHOB,ras homolog family member B
395,ENSG00000047648,395,OTTHUMG00000021134,ARHGAP6,Rho GTPase activating protein 6
401,ENSG00000165462,401,OTTHUMG00000167899,PHOX2A,paired-like homeobox 2a
406,ENSG00000133794,406,OTTHUMG00000150623,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
421,ENSG00000099889,421,OTTHUMG00000030426,ARVCF,armadillo repeat gene deleted in velocardiofacial syndrome
429,ENSG00000139352,429,OTTHUMG00000169967,ASCL1,achaete-scute complex homolog 1 (Drosophila)
430,ENSG00000183734,430,OTTHUMG00000009648,ASCL2,achaete-scute complex homolog 2 (Drosophila)
432,ENSG00000141505,432,OTTHUMG00000102159,ASGR1,asialoglycoprotein receptor 1
445,ENSG00000130707,445,OTTHUMG00000020806,ASS1,argininosuccinate synthase 1
460,ENSG00000152092,460,OTTHUMG00000035041,ASTN1,astrotactin 1
463,ENSG00000140836,463,OTTHUMG00000137599,ZFHX3,zinc finger homeobox 3
474,ENSG00000172238,474,OTTHUMG00000130972,ATOH1,atonal homolog 1 (Drosophila)
477,ENSG00000018625,477,OTTHUMG00000024080,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide"
478,ENSG00000105409,478,OTTHUMG00000137384,ATP1A3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
479,ENSG00000075673,479,OTTHUMG00000016588,ATP12A,"ATPase, H+/K+ transporting, nongastric, alpha polypeptide"
481,ENSG00000143153,481,OTTHUMG00000034590,ATP1B1,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
482,ENSG00000129244,482,OTTHUMG00000178018,ATP1B2,"ATPase, Na+/K+ transporting, beta 2 polypeptide"
489,ENSG00000074370,489,OTTHUMG00000177674,ATP2A3,"ATPase, Ca++ transporting, ubiquitous"
490,ENSG00000070961,490,OTTHUMG00000169946,ATP2B1,"ATPase, Ca++ transporting, plasma membrane 1"
491,ENSG00000157087,491,OTTHUMG00000128679,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2"
492,ENSG00000067842,492,OTTHUMG00000024202,ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3"
493,ENSG00000058668,493,OTTHUMG00000035906,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4"
513,ENSG00000099624,513,OTTHUMG00000180143,ATP5D,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
514,ENSG00000124172,514,OTTHUMG00000032854,ATP5E,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
535,ENSG00000033627,535,OTTHUMG00000180238,ATP6V0A1,"ATPase, H+ transporting, lysosomal V0 subunit a1"
540,ENSG00000123191,540,OTTHUMG00000017406,ATP7B,"ATPase, Cu++ transporting, beta polypeptide"
547,ENSG00000130294,547,OTTHUMG00000151940,KIF1A,kinesin family member 1A
551,ENSG00000101200,551,OTTHUMG00000031733,AVP,arginine vasopressin
552,ENSG00000166148,552,OTTHUMG00000169980,AVPR1A,arginine vasopressin receptor 1A
553,ENSG00000198049,553,OTTHUMG00000036119,AVPR1B,arginine vasopressin receptor 1B
566,ENSG00000172232,566,OTTHUMG00000181897,AZU1,azurocidin 1
575,ENSG00000181790,575,OTTHUMG00000164732,BAI1,brain-specific angiogenesis inhibitor 1
576,ENSG00000121753,576,OTTHUMG00000003885,BAI2,brain-specific angiogenesis inhibitor 2
577,ENSG00000135298,577,OTTHUMG00000014982,BAI3,brain-specific angiogenesis inhibitor 3
579,ENSG00000109705,579,OTTHUMG00000090657,NKX3-2,NK3 homeobox 2
595,ENSG00000110092,595,OTTHUMG00000167877,CCND1,cyclin D1
596,ENSG00000171791,596,OTTHUMG00000132791,BCL2,B-cell CLL/lymphoma 2
604,ENSG00000113916,604,OTTHUMG00000156441,BCL6,B-cell CLL/lymphoma 6
610,ENSG00000099822,610,OTTHUMG00000180590,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2
627,ENSG00000176697,627,OTTHUMG00000178797,BDNF,brain-derived neurotrophic factor
632,ENSG00000242252,632,OTTHUMG00000014819,BGLAP,bone gamma-carboxyglutamate (gla) protein
635,ENSG00000145692,635,OTTHUMG00000108157,BHMT,betaine--homocysteine S-methyltransferase
638,ENSG00000100290,638,OTTHUMG00000150703,BIK,BCL2-interacting killer (apoptosis-inducing)
639,ENSG00000057657,639,OTTHUMG00000015299,PRDM1,"PR domain containing 1, with ZNF domain"
642,ENSG00000108578,642,OTTHUMG00000179756,BLMH,bleomycin hydrolase
643,ENSG00000160683,643,OTTHUMG00000166345,CXCR5,chemokine (C-X-C motif) receptor 5
645,ENSG00000090013,645,OTTHUMG00000182593,BLVRB,biliverdin reductase B (flavin reductase (NADPH))
646,ENSG00000169594,646,OTTHUMG00000147362,BNC1,basonuclin 1
649,ENSG00000168487,649,OTTHUMG00000097761,BMP1,bone morphogenetic protein 1
650,ENSG00000125845,650,OTTHUMG00000031833,BMP2,bone morphogenetic protein 2
651,ENSG00000152785,651,OTTHUMG00000130292,BMP3,bone morphogenetic protein 3
652,ENSG00000125378,652,OTTHUMG00000140303,BMP4,bone morphogenetic protein 4
654,ENSG00000153162,654,OTTHUMG00000014217,BMP6,bone morphogenetic protein 6
655,ENSG00000101144,655,OTTHUMG00000032812,BMP7,bone morphogenetic protein 7
656,ENSG00000116985,656,OTTHUMG00000009247,BMP8B,bone morphogenetic protein 8b
657,ENSG00000107779,657,OTTHUMG00000018657,BMPR1A,"bone morphogenetic protein receptor, type IA"
658,ENSG00000138696,658,OTTHUMG00000130991,BMPR1B,"bone morphogenetic protein receptor, type IB"
668,ENSG00000183770,668,OTTHUMG00000159889,FOXL2,forkhead box L2
671,ENSG00000101425,671,OTTHUMG00000032441,BPI,bactericidal/permeability-increasing protein
677,ENSG00000185650,677,OTTHUMG00000171385,ZFP36L1,"zinc finger protein 36, C3H type-like 1"
685,ENSG00000174808,685,OTTHUMG00000130107,BTC,betacellulin
687,ENSG00000119138,687,OTTHUMG00000019991,KLF9,Kruppel-like factor 9
696,ENSG00000124557,696,OTTHUMG00000016358,BTN1A1,"butyrophilin, subfamily 1, member A1"
706,ENSG00000100300,706,OTTHUMG00000150573,TSPO,translocator protein (18kDa)
730,ENSG00000112936,730,OTTHUMG00000150340,C7,complement component 7
735,ENSG00000113600,735,OTTHUMG00000094767,C9,complement component 9
744,ENSG00000066382,744,OTTHUMG00000166159,MPPED2,metallophosphoesterase domain containing 2
745,ENSG00000124920,745,OTTHUMG00000168161,C11orf9,chromosome 11 open reading frame 9
752,ENSG00000184922,752,OTTHUMG00000180196,FMNL1,formin-like 1
753,ENSG00000168675,753,OTTHUMG00000181925,LDLRAD4,chromosome 18 open reading frame 1
754,ENSG00000183255,754,OTTHUMG00000090254,PTTG1IP,pituitary tumor-transforming 1 interacting protein
758,ENSG00000186732,758,OTTHUMG00000150566,MPPED1,metallophosphoesterase domain containing 1
760,ENSG00000104267,760,OTTHUMG00000164944,CA2,carbonic anhydrase II
762,ENSG00000167434,762,OTTHUMG00000179987,CA4,carbonic anhydrase IV
766,ENSG00000168748,766,OTTHUMG00000137524,CA7,carbonic anhydrase VII
767,ENSG00000178538,767,OTTHUMG00000165325,CA8,carbonic anhydrase VIII
771,ENSG00000074410,771,OTTHUMG00000132881,CA12,carbonic anhydrase XII
774,ENSG00000148408,774,OTTHUMG00000021002,CACNA1B,"calcium channel, voltage-dependent, N type, alpha 1B subunit"
776,ENSG00000157388,776,OTTHUMG00000158278,CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit"
779,ENSG00000081248,779,OTTHUMG00000035784,CACNA1S,"calcium channel, voltage-dependent, L type, alpha 1S subunit"
781,ENSG00000153956,781,OTTHUMG00000023622,CACNA2D1,"calcium channel, voltage-dependent, alpha 2/delta subunit 1"
783,ENSG00000165995,783,OTTHUMG00000017764,CACNB2,"calcium channel, voltage-dependent, beta 2 subunit"
785,ENSG00000182389,785,OTTHUMG00000155091,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit"
796,ENSG00000110680,796,OTTHUMG00000159731,CALCA,calcitonin-related polypeptide alpha
799,ENSG00000004948,799,OTTHUMG00000023599,CALCR,calcitonin receptor
814,ENSG00000152495,814,OTTHUMG00000128792,CAMK4,calcium/calmodulin-dependent protein kinase IV
816,ENSG00000058404,816,OTTHUMG00000023491,CAMK2B,calcium/calmodulin-dependent protein kinase II beta
823,ENSG00000014216,823,OTTHUMG00000165614,CAPN1,"calpain 1, (mu/I) large subunit"
846,ENSG00000036828,846,OTTHUMG00000159491,CASR,calcium-sensing receptor
857,ENSG00000105974,857,OTTHUMG00000023413,CAV1,"caveolin 1, caveolae protein, 22kDa"
862,ENSG00000079102,862,OTTHUMG00000164066,RUNX1T1,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"
863,ENSG00000129993,863,OTTHUMG00000137864,CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3"
869,ENSG00000102924,869,OTTHUMG00000133148,CBLN1,cerebellin 1 precursor
874,ENSG00000159231,874,OTTHUMG00000086617,CBR3,carbonyl reductase 3
875,ENSG00000160200,875,OTTHUMG00000086834,CBS,cystathionine-beta-synthase
885,ENSG00000187094,885,OTTHUMG00000131796,CCK,cholecystokinin
887,ENSG00000110148,887,OTTHUMG00000133380,CCKBR,cholecystokinin B receptor
894,ENSG00000118971,894,OTTHUMG00000168123,CCND2,cyclin D2
896,ENSG00000112576,896,OTTHUMG00000014690,CCND3,cyclin D3
912,ENSG00000158473,912,OTTHUMG00000022436,CD1D,CD1d molecule
923,ENSG00000013725,923,OTTHUMG00000167823,CD6,CD6 molecule
924,ENSG00000173762,924,OTTHUMG00000178662,CD7,CD7 molecule
925,ENSG00000153563,925,OTTHUMG00000130265,CD8A,CD8a molecule
928,ENSG00000010278,928,OTTHUMG00000044400,CD9,CD9 molecule
929,ENSG00000170458,929,OTTHUMG00000129507,CD14,CD14 molecule
932,ENSG00000149516,932,OTTHUMG00000167380,MS4A3,"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)"
943,ENSG00000120949,943,OTTHUMG00000001827,TNFRSF8,"tumor necrosis factor receptor superfamily, member 8"
947,ENSG00000174059,947,OTTHUMG00000036565,CD34,CD34 molecule
952,ENSG00000004468,952,OTTHUMG00000048206,CD38,CD38 molecule
954,ENSG00000054179,954,OTTHUMG00000020953,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
956,ENSG00000168032,956,OTTHUMG00000131390,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
960,ENSG00000026508,960,OTTHUMG00000044388,CD44,CD44 molecule (Indian blood group)
962,ENSG00000117091,962,OTTHUMG00000024009,CD48,CD48 molecule
969,ENSG00000110848,969,OTTHUMG00000168481,CD69,CD69 molecule
977,ENSG00000177697,977,OTTHUMG00000133311,CD151,CD151 molecule (Raph blood group)
999,ENSG00000039068,999,OTTHUMG00000137561,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)"
1000,ENSG00000170558,1000,OTTHUMG00000059940,CDH2,"cadherin 2, type 1, N-cadherin (neuronal)"
1002,ENSG00000179242,1002,OTTHUMG00000032890,CDH4,"cadherin 4, type 1, R-cadherin (retinal)"
1004,ENSG00000113361,1004,OTTHUMG00000090673,CDH6,"cadherin 6, type 2, K-cadherin (fetal kidney)"
1006,ENSG00000150394,1006,OTTHUMG00000137493,CDH8,"cadherin 8, type 2"
1009,ENSG00000140937,1009,OTTHUMG00000137494,CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)"
1012,ENSG00000140945,1012,OTTHUMG00000176635,CDH13,"cadherin 13, H-cadherin (heart)"
1013,ENSG00000129910,1013,OTTHUMG00000138045,CDH15,"cadherin 15, type 1, M-cadherin (myotubule)"
1014,ENSG00000166589,1014,OTTHUMG00000137518,CDH16,"cadherin 16, KSP-cadherin"
1019,ENSG00000135446,1019,OTTHUMG00000170382,CDK4,cyclin-dependent kinase 4
1026,ENSG00000124762,1026,OTTHUMG00000014603,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
1028,ENSG00000129757,1028,OTTHUMG00000010040,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"
1029,ENSG00000147889,1029,OTTHUMG00000019686,CDKN2A,cyclin-dependent kinase inhibitor 2A
1030,ENSG00000147883,1030,OTTHUMG00000019691,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
1036,ENSG00000129596,1036,OTTHUMG00000128891,CDO1,"cysteine dioxygenase, type I"
1040,ENSG00000163624,1040,OTTHUMG00000130428,CDS1,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
1044,ENSG00000113722,1044,OTTHUMG00000169772,CDX1,caudal type homeobox 1
1045,ENSG00000165556,1045,OTTHUMG00000016640,CDX2,caudal type homeobox 2
1047,ENSG00000153132,1047,OTTHUMG00000133414,CLGN,calmegin
1050,ENSG00000245848,1050,OTTHUMG00000161461,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha"
1052,ENSG00000221869,1052,OTTHUMG00000162290,CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta"
1053,ENSG00000092067,1053,OTTHUMG00000028719,CEBPE,"CCAAT/enhancer binding protein (C/EBP), epsilon"
1073,ENSG00000165410,1073,OTTHUMG00000029536,CFL2,cofilin 2 (muscle)
1101,ENSG00000136457,1101,OTTHUMG00000162129,CHAD,chondroadherin
1103,ENSG00000070748,1103,OTTHUMG00000018198,CHAT,choline O-acetyltransferase
1114,ENSG00000089199,1114,OTTHUMG00000031821,CHGB,chromogranin B (secretogranin 1)
1117,ENSG00000064886,1117,OTTHUMG00000012174,CHI3L2,chitinase 3-like 2
1120,ENSG00000100288,1120,OTTHUMG00000150275,CHKB,choline kinase beta
1123,ENSG00000128656,1123,OTTHUMG00000154225,CHN1,chimerin (chimaerin) 1
1128,ENSG00000168539,1128,OTTHUMG00000167765,CHRM1,"cholinergic receptor, muscarinic 1"
1129,ENSG00000181072,1129,OTTHUMG00000155658,CHRM2,"cholinergic receptor, muscarinic 2"
1131,ENSG00000133019,1131,OTTHUMG00000039649,CHRM3,"cholinergic receptor, muscarinic 3"
1132,ENSG00000180720,1132,OTTHUMG00000154371,CHRM4,"cholinergic receptor, muscarinic 4"
1136,ENSG00000080644,1136,OTTHUMG00000143863,CHRNA3,"cholinergic receptor, nicotinic, alpha 3 (neuronal)"
1137,ENSG00000101204,1137,OTTHUMG00000033080,CHRNA4,"cholinergic receptor, nicotinic, alpha 4 (neuronal)"
1140,ENSG00000170175,1140,OTTHUMG00000108139,CHRNB1,"cholinergic receptor, nicotinic, beta 1 (muscle)"
1141,ENSG00000160716,1141,OTTHUMG00000037262,CHRNB2,"cholinergic receptor, nicotinic, beta 2 (neuronal)"
1144,ENSG00000135902,1144,OTTHUMG00000133261,CHRND,"cholinergic receptor, nicotinic, delta (muscle)"
1145,ENSG00000108556,1145,OTTHUMG00000090778,CHRNE,"cholinergic receptor, nicotinic, epsilon (muscle)"
1149,ENSG00000176194,1149,OTTHUMG00000131691,CIDEA,cell death-inducing DFFA-like effector a
1152,ENSG00000166165,1152,OTTHUMG00000171786,CKB,"creatine kinase, brain"
1182,ENSG00000109572,1182,OTTHUMG00000160973,CLCN3,"chloride channel, voltage-sensitive 3"
1201,ENSG00000188603,1201,OTTHUMG00000097024,CLN3,"ceroid-lipofuscinosis, neuronal 3"
1236,ENSG00000126353,1236,OTTHUMG00000133375,CCR7,chemokine (C-C motif) receptor 7
1240,ENSG00000174600,1240,OTTHUMG00000169576,CMKLR1,chemokine-like receptor 1
1261,ENSG00000144191,1261,OTTHUMG00000130561,CNGA3,cyclic nucleotide gated channel alpha 3
1268,ENSG00000118432,1268,OTTHUMG00000015184,CNR1,cannabinoid receptor 1 (brain)
1271,ENSG00000122756,1271,OTTHUMG00000019821,CNTFR,ciliary neurotrophic factor receptor
1272,ENSG00000018236,1272,OTTHUMG00000169362,CNTN1,contactin 1
1277,ENSG00000108821,1277,OTTHUMG00000148674,COL1A1,"collagen, type I, alpha 1"
1280,ENSG00000139219,1280,OTTHUMG00000149896,COL2A1,"collagen, type II, alpha 1"
1282,ENSG00000187498,1282,OTTHUMG00000017342,COL4A1,"collagen, type IV, alpha 1"
1284,ENSG00000134871,1284,OTTHUMG00000017344,COL4A2,"collagen, type IV, alpha 2"
1285,ENSG00000169031,1285,OTTHUMG00000149891,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)"
1286,ENSG00000081052,1286,OTTHUMG00000149892,COL4A4,"collagen, type IV, alpha 4"
1291,ENSG00000142156,1291,OTTHUMG00000090440,COL6A1,"collagen, type VI, alpha 1"
1292,ENSG00000142173,1292,OTTHUMG00000090489,COL6A2,"collagen, type VI, alpha 2"
1293,ENSG00000163359,1293,OTTHUMG00000150020,COL6A3,"collagen, type VI, alpha 3"
1296,ENSG00000171812,1296,OTTHUMG00000007665,COL8A2,"collagen, type VIII, alpha 2"
1297,ENSG00000112280,1297,OTTHUMG00000014988,COL9A1,"collagen, type IX, alpha 1"
1298,ENSG00000049089,1298,OTTHUMG00000005761,COL9A2,"collagen, type IX, alpha 2"
1299,ENSG00000092758,1299,OTTHUMG00000032938,COL9A3,"collagen, type IX, alpha 3"
1302,ENSG00000204248,1302,OTTHUMG00000031036,COL11A2,"collagen, type XI, alpha 2"
1303,ENSG00000111799,1303,OTTHUMG00000015051,COL12A1,"collagen, type XII, alpha 1"
1305,ENSG00000197467,1305,OTTHUMG00000018394,COL13A1,"collagen, type XIII, alpha 1"
1306,ENSG00000204291,1306,OTTHUMG00000020351,COL15A1,"collagen, type XV, alpha 1"
1310,ENSG00000082293,1310,OTTHUMG00000014987,COL19A1,"collagen, type XIX, alpha 1"
1311,ENSG00000105664,1311,OTTHUMG00000169318,COMP,cartilage oligomeric matrix protein
1326,ENSG00000107968,1326,OTTHUMG00000017889,MAP3K8,mitogen-activated protein kinase kinase kinase 8
1362,ENSG00000108582,1362,OTTHUMG00000132797,CPD,carboxypeptidase D
1365,ENSG00000165215,1365,OTTHUMG00000023424,CLDN3,claudin 3
1366,ENSG00000181885,1366,OTTHUMG00000178005,CLDN7,claudin 7
1374,ENSG00000110090,1374,OTTHUMG00000167892,CPT1A,carnitine palmitoyltransferase 1A (liver)
1375,ENSG00000205560,1375,OTTHUMG00000137390,CPT1B,carnitine palmitoyltransferase 1B (muscle)
1378,ENSG00000203710,1378,OTTHUMG00000036311,CR1,complement component (3b/4b) receptor 1 (Knops blood group)
1380,ENSG00000117322,1380,OTTHUMG00000036307,CR2,complement component (3d/Epstein Barr virus) receptor 2
1381,ENSG00000166426,1381,OTTHUMG00000143862,CRABP1,cellular retinoic acid binding protein 1
1388,ENSG00000213676,1388,OTTHUMG00000031296,ATF6B,activating transcription factor 6 beta
1392,ENSG00000147571,1392,OTTHUMG00000164474,CRH,corticotropin releasing hormone
1393,ENSG00000145708,1393,OTTHUMG00000102133,CRHBP,corticotropin releasing hormone binding protein
1396,ENSG00000213145; ENSG00000257341; ENSG00000213145; ENSG00000257341,1396; 1396; 1396; 1396,OTTHUMG00000029908; OTTHUMG00000029910; OTTHUMG00000029908; OTTHUMG00000029910,CRIP1; CRIP1; CRIP1; CRIP1,cysteine-rich protein 1 (intestinal)
1396,ENSG00000213145; ENSG00000257341; ENSG00000213145; ENSG00000257341,1396; 1396; 1396; 1396,OTTHUMG00000029908; OTTHUMG00000029910; OTTHUMG00000029908; OTTHUMG00000029910,CRIP1; CRIP1; CRIP1; CRIP1,cysteine-rich protein 1 (intestinal)
1396,ENSG00000213145; ENSG00000257341; ENSG00000213145; ENSG00000257341,1396; 1396; 1396; 1396,OTTHUMG00000029908; OTTHUMG00000029910; OTTHUMG00000029908; OTTHUMG00000029910,CRIP1; CRIP1; CRIP1; CRIP1,cysteine-rich protein 1 (intestinal)
1396,ENSG00000213145; ENSG00000257341; ENSG00000213145; ENSG00000257341,1396; 1396; 1396; 1396,OTTHUMG00000029908; OTTHUMG00000029910; OTTHUMG00000029908; OTTHUMG00000029910,CRIP1; CRIP1; CRIP1; CRIP1,cysteine-rich protein 1 (intestinal)
1397,ENSG00000182809,1397,OTTHUMG00000029906,CRIP2,cysteine-rich protein 2
1400,ENSG00000072832,1400,OTTHUMG00000125489,CRMP1,collapsin response mediator protein 1
1404,ENSG00000145681,1404,OTTHUMG00000119045,HAPLN1,hyaluronan and proteoglycan link protein 1
1407,ENSG00000008405,1407,OTTHUMG00000170005,CRY1,cryptochrome 1 (photolyase-like)
1409,ENSG00000160202,1409,OTTHUMG00000086842,CRYAA,"crystallin, alpha A"
1412,ENSG00000163499,1412,OTTHUMG00000133084,CRYBA2,"crystallin, beta A2"
1421,ENSG00000118231,1421,OTTHUMG00000132944,CRYGD,"crystallin, gamma D"
1428,ENSG00000103316,1428,OTTHUMG00000090707,CRYM,"crystallin, mu"
1462,ENSG00000038427,1462,OTTHUMG00000131321,VCAN,versican
1464,ENSG00000173546,1464,OTTHUMG00000142836,CSPG4,chondroitin sulfate proteoglycan 4
1466,ENSG00000175183,1466,OTTHUMG00000169919,CSRP2,cysteine and glycine-rich protein 2
1474,ENSG00000175315,1474,OTTHUMG00000166750,CST6,cystatin E/M
