2353,,,,,
All IDs for CfosEtoh01,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
103,ENSG00000160710,103,OTTHUMG00000037261,ADAR,"adenosine deaminase, RNA-specific"
105,ENSG00000185736,105,OTTHUMG00000017543,ADARB2,"adenosine deaminase, RNA-specific, B2"
113,ENSG00000121281,113,OTTHUMG00000133172,ADCY7,adenylate cyclase 7
125,ENSG00000196616,125,OTTHUMG00000161413,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
133,ENSG00000148926,133,OTTHUMG00000165907,ADM,adrenomedullin
134,ENSG00000163485,134,OTTHUMG00000042125,ADORA1,adenosine A1 receptor
135,ENSG00000128271,135,OTTHUMG00000150761,ADORA2A,adenosine A2a receptor
136,ENSG00000170425,136,OTTHUMG00000059140,ADORA2B,adenosine A2b receptor
140,ENSG00000121933,140,OTTHUMG00000011957,ADORA3,adenosine A3 receptor
142,ENSG00000143799,142,OTTHUMG00000037556,PARP1,poly (ADP-ribose) polymerase 1
143,ENSG00000102699,143,OTTHUMG00000016582,PARP4,"poly (ADP-ribose) polymerase family, member 4"
147,ENSG00000170214,147,OTTHUMG00000130327,ADRA1B,adrenoceptor alpha 1B
156,ENSG00000173020,156,OTTHUMG00000167104,ADRBK1,"adrenergic, beta, receptor kinase 1"
158,ENSG00000239900,158,OTTHUMG00000166425,ADSL,adenylosuccinate lyase
160,ENSG00000196961,160,OTTHUMG00000183253,AP2A1,"adaptor-related protein complex 2, alpha 1 subunit"
161,ENSG00000183020,161,OTTHUMG00000165627,AP2A2,"adaptor-related protein complex 2, alpha 2 subunit"
164,ENSG00000166747,164,OTTHUMG00000176871,AP1G1,"adaptor-related protein complex 1, gamma 1 subunit"
176,ENSG00000157766,176,OTTHUMG00000171989,ACAN,aggrecan
178,ENSG00000162688,178,OTTHUMG00000010803,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
181,ENSG00000159723,181,OTTHUMG00000137509,AGRP,agouti related protein homolog (mouse)
182,ENSG00000101384,182,OTTHUMG00000031872,JAG1,jagged 1
190,ENSG00000169297,190,OTTHUMG00000021323,NR0B1,"nuclear receptor subfamily 0, group B, member 1"
191,ENSG00000101444,191,OTTHUMG00000140098,AHCY,adenosylhomocysteinase
197,ENSG00000145192,197,OTTHUMG00000156605,AHSG,alpha-2-HS-glycoprotein
202,ENSG00000112297,202,OTTHUMG00000015302,AIM1,absent in melanoma 1
211,ENSG00000023330,211,OTTHUMG00000158108,ALAS1,"aminolevulinate, delta-, synthase 1"
214,ENSG00000170017,214,OTTHUMG00000159192,ALCAM,activated leukocyte cell adhesion molecule
218,ENSG00000108602,218,OTTHUMG00000059469,ALDH3A1,"aldehyde dehydrogenase 3 family, member A1"
223,ENSG00000143149,223,OTTHUMG00000034677,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1"
224,ENSG00000072210,224,OTTHUMG00000059471,ALDH3A2,"aldehyde dehydrogenase 3 family, member A2"
226,ENSG00000149925,226,OTTHUMG00000132107,ALDOA,"aldolase A, fructose-bisphosphate"
231,ENSG00000085662,231,OTTHUMG00000155322,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)"
241,ENSG00000132965,241,OTTHUMG00000016677,ALOX5AP,arachidonate 5-lipoxygenase-activating protein
262,ENSG00000123505,262,OTTHUMG00000015369,AMD1,adenosylmethionine decarboxylase 1
267,ENSG00000159461,267,OTTHUMG00000133239,AMFR,"autocrine motility factor receptor, E3 ubiquitin protein ligase"
269,ENSG00000135409,269,OTTHUMG00000170048,AMHR2,"anti-Mullerian hormone receptor, type II"
271,ENSG00000116337,271,OTTHUMG00000011649,AMPD2,adenosine monophosphate deaminase 2
272,ENSG00000133805,272,OTTHUMG00000165682,AMPD3,adenosine monophosphate deaminase 3
275,ENSG00000145020,275,OTTHUMG00000156847,AMT,aminomethyltransferase
284,ENSG00000154188,284,OTTHUMG00000164812,ANGPT1,angiopoietin 1
287,ENSG00000145362,287,OTTHUMG00000132912,ANK2,"ankyrin 2, neuronal"
301,ENSG00000135046,301,OTTHUMG00000020016,ANXA1,annexin A1
302,ENSG00000182718,302,OTTHUMG00000132763,ANXA2,annexin A2
306,ENSG00000138772,306,OTTHUMG00000130198,ANXA3,annexin A3
307,ENSG00000196975,307,OTTHUMG00000129649,ANXA4,annexin A4
311,ENSG00000122359,311,OTTHUMG00000018604,ANXA11,annexin A11
312,ENSG00000104537,312,OTTHUMG00000164987,ANXA13,annexin A13
318,ENSG00000164978,318,OTTHUMG00000019817,NUDT2,nudix (nucleoside diphosphate linked moiety X)-type motif 2
320,ENSG00000107282,320,OTTHUMG00000019984,APBA1,"amyloid beta (A4) precursor protein-binding, family A, member 1"
327,ENSG00000164062,327,OTTHUMG00000156882,APEH,N-acylaminoacyl-peptide hydrolase
328,ENSG00000100823,328,OTTHUMG00000029544,APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1
330,ENSG00000023445,330,OTTHUMG00000167324,BIRC3,baculoviral IAP repeat containing 3
341,ENSG00000130208,341,OTTHUMG00000180844,APOC1,apolipoprotein C-I
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
355,ENSG00000026103,355,OTTHUMG00000018701,FAS,"Fas (TNF receptor superfamily, member 6)"
356,ENSG00000117560,356,OTTHUMG00000034841,FASLG,"Fas ligand (TNF superfamily, member 6)"
360,ENSG00000165272,360,OTTHUMG00000019769,AQP3,aquaporin 3 (Gill blood group)
362,ENSG00000161798,362,OTTHUMG00000169710,AQP5,aquaporin 5
363,ENSG00000086159,363,OTTHUMG00000133548,AQP6,"aquaporin 6, kidney specific"
378,ENSG00000168374,378,OTTHUMG00000158601,ARF4,ADP-ribosylation factor 4
379,ENSG00000175906,379,OTTHUMG00000180881,ARL4D,ADP-ribosylation factor-like 4D
384,ENSG00000081181,384,OTTHUMG00000171807,ARG2,"arginase, type II"
387,ENSG00000067560,387,OTTHUMG00000156838,RHOA,ras homolog family member A
389,ENSG00000155366,389,OTTHUMG00000011905,RHOC,ras homolog family member C
394,ENSG00000100852,394,OTTHUMG00000170589,ARHGAP5,Rho GTPase activating protein 5
397,ENSG00000111348,397,OTTHUMG00000168742,ARHGDIB,Rho GDP dissociation inhibitor (GDI) beta
405,ENSG00000143437,405,OTTHUMG00000035011,ARNT,aryl hydrocarbon receptor nuclear translocator
406,ENSG00000133794,406,OTTHUMG00000150623,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
409,ENSG00000141480,409,OTTHUMG00000090759,ARRB2,"arrestin, beta 2"
420,ENSG00000111339,420,OTTHUMG00000168738,ART4,ADP-ribosyltransferase 4 (Dombrock blood group)
444,ENSG00000198363,444,OTTHUMG00000164375,ASPH,aspartate beta-hydroxylase
467,ENSG00000162772,467,OTTHUMG00000036747,ATF3,activating transcription factor 3
468,ENSG00000128272,468,OTTHUMG00000151099,ATF4,activating transcription factor 4 (tax-responsive enhancer element B67)
473,ENSG00000142599,473,OTTHUMG00000001765,RERE,arginine-glutamic acid dipeptide (RE) repeats
475,ENSG00000177556,475,OTTHUMG00000163499,ATOX1,ATX1 antioxidant protein 1 homolog (yeast)
476,ENSG00000163399,476,OTTHUMG00000012109,ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
477,ENSG00000018625,477,OTTHUMG00000024080,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide"
481,ENSG00000143153,481,OTTHUMG00000034590,ATP1B1,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
486,ENSG00000137731,486,OTTHUMG00000166990,FXYD2,FXYD domain containing ion transport regulator 2
493,ENSG00000058668,493,OTTHUMG00000035906,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4"
501,ENSG00000164904,501,OTTHUMG00000128942,ALDH7A1,"aldehyde dehydrogenase 7 family, member A1"
515,ENSG00000116459,515,OTTHUMG00000011745,ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1"
516,ENSG00000159199,516,OTTHUMG00000160520,ATP5G1,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)"
517,ENSG00000135390,517,OTTHUMG00000133442,ATP5G2,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)"
521,ENSG00000169020,521,OTTHUMG00000086929,ATP5I,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E"
523,ENSG00000114573,523,OTTHUMG00000159295,ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
526,ENSG00000147416,526,OTTHUMG00000131073,ATP6V1B2,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"
528,ENSG00000155097,528,OTTHUMG00000164761,ATP6V1C1,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1"
529,ENSG00000131100,529,OTTHUMG00000059320,ATP6V1E1,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"
533,ENSG00000117410,533,OTTHUMG00000008298,ATP6V0B,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
558,ENSG00000167601,558,OTTHUMG00000182727,AXL,AXL receptor tyrosine kinase
581,ENSG00000087088,581,OTTHUMG00000160476,BAX,BCL2-associated X protein
583,ENSG00000125124,583,OTTHUMG00000176943,BBS2,Bardet-Biedl syndrome 2
593,ENSG00000248098,593,OTTHUMG00000168128,BCKDHA,"branched chain keto acid dehydrogenase E1, alpha polypeptide"
597,ENSG00000140379,597,OTTHUMG00000144173,BCL2A1,BCL2-related protein A1
602,ENSG00000069399,602,OTTHUMG00000151517,BCL3,B-cell CLL/lymphoma 3
604,ENSG00000113916,604,OTTHUMG00000156441,BCL6,B-cell CLL/lymphoma 6
607,ENSG00000116128,607,OTTHUMG00000014031,BCL9,B-cell CLL/lymphoma 9
610,ENSG00000099822,610,OTTHUMG00000180590,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2
611,ENSG00000128617,611,OTTHUMG00000158311,OPN1SW,"opsin 1 (cone pigments), short-wave-sensitive"
623,ENSG00000100739,623,OTTHUMG00000171412,BDKRB1,bradykinin receptor B1
631,ENSG00000125864,631,OTTHUMG00000031940,BFSP1,"beaded filament structural protein 1, filensin"
632,ENSG00000242252,632,OTTHUMG00000014819,BGLAP,bone gamma-carboxyglutamate (gla) protein
636,ENSG00000151746,636,OTTHUMG00000169307,BICD1,bicaudal D homolog 1 (Drosophila)
637,ENSG00000015475,637,OTTHUMG00000150087,BID,BH3 interacting domain death agonist
639,ENSG00000057657,639,OTTHUMG00000015299,PRDM1,"PR domain containing 1, with ZNF domain"
640,ENSG00000136573,640,OTTHUMG00000090729,BLK,B lymphoid tyrosine kinase
643,ENSG00000160683,643,OTTHUMG00000166345,CXCR5,chemokine (C-X-C motif) receptor 5
644,ENSG00000106605,644,OTTHUMG00000128953,BLVRA,biliverdin reductase A
645,ENSG00000090013,645,OTTHUMG00000182593,BLVRB,biliverdin reductase B (flavin reductase (NADPH))
646,ENSG00000169594,646,OTTHUMG00000147362,BNC1,basonuclin 1
649,ENSG00000168487,649,OTTHUMG00000097761,BMP1,bone morphogenetic protein 1
654,ENSG00000153162,654,OTTHUMG00000014217,BMP6,bone morphogenetic protein 6
660,ENSG00000102010,660,OTTHUMG00000021180,BMX,BMX non-receptor tyrosine kinase
666,ENSG00000176720,666,OTTHUMG00000133411,BOK,BCL2-related ovarian killer
669,ENSG00000172331,669,OTTHUMG00000155380,BPGM,"2,3-bisphosphoglycerate mutase"
672,ENSG00000012048,672,OTTHUMG00000157426,BRCA1,"breast cancer 1, early onset"
677,ENSG00000185650,677,OTTHUMG00000171385,ZFP36L1,"zinc finger protein 36, C3H type-like 1"
678,ENSG00000152518,678,OTTHUMG00000128642,ZFP36L2,"zinc finger protein 36, C3H type-like 2"
682,ENSG00000172270,682,OTTHUMG00000177718,BSG,basigin (Ok blood group)
687,ENSG00000119138,687,OTTHUMG00000019991,KLF9,Kruppel-like factor 9
688,ENSG00000102554,688,OTTHUMG00000017074,KLF5,Kruppel-like factor 5 (intestinal)
694,ENSG00000133639,694,OTTHUMG00000170092,BTG1,"B-cell translocation gene 1, anti-proliferative"
699,ENSG00000169679,699,OTTHUMG00000153638,BUB1,budding uninhibited by benzimidazoles 1 homolog (yeast)
705,ENSG00000112578,705,OTTHUMG00000014687,BYSL,bystin-like
706,ENSG00000100300,706,OTTHUMG00000150573,TSPO,translocator protein (18kDa)
728,ENSG00000197405,728,OTTHUMG00000183504,C5AR1,complement component 5a receptor 1
734,ENSG00000164823,734,OTTHUMG00000163811,OSGIN2,oxidative stress induced growth inhibitor family member 2
735,ENSG00000113600,735,OTTHUMG00000094767,C9,complement component 9
740,ENSG00000149792,740,OTTHUMG00000165608,MRPL49,mitochondrial ribosomal protein L49
741,ENSG00000174276,741,OTTHUMG00000165604,ZNHIT2,"zinc finger, HIT-type containing 2"
754,ENSG00000183255,754,OTTHUMG00000090254,PTTG1IP,pituitary tumor-transforming 1 interacting protein
765,ENSG00000131686,765,OTTHUMG00000001763,CA6,carbonic anhydrase VI
768,ENSG00000107159,768,OTTHUMG00000021029,CA9,carbonic anhydrase IX
770,ENSG00000063180,770,OTTHUMG00000183320,CA11,carbonic anhydrase XI
771,ENSG00000074410,771,OTTHUMG00000132881,CA12,carbonic anhydrase XII
773,ENSG00000141837,773,OTTHUMG00000044590,CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
777,ENSG00000198216,777,OTTHUMG00000037301,CACNA1E,"calcium channel, voltage-dependent, R type, alpha 1E subunit"
785,ENSG00000182389,785,OTTHUMG00000155091,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit"
794,ENSG00000172137,794,OTTHUMG00000137589,CALB2,calbindin 2
797,ENSG00000175868,797,OTTHUMG00000164629,CALCB,calcitonin-related polypeptide beta
808,ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933,808; 808; 808; 808; 808; 808,OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850,CALM3; CALM2; CALM3; CALM2; CALM3; CALM2,"calmodulin 1 (phosphorylase kinase, delta)"
808,ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933,808; 808; 808; 808; 808; 808,OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850,CALM3; CALM2; CALM3; CALM2; CALM3; CALM2,"calmodulin 1 (phosphorylase kinase, delta)"
808,ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933,808; 808; 808; 808; 808; 808,OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850,CALM3; CALM2; CALM3; CALM2; CALM3; CALM2,"calmodulin 1 (phosphorylase kinase, delta)"
808,ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933,808; 808; 808; 808; 808; 808,OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850,CALM3; CALM2; CALM3; CALM2; CALM3; CALM2,"calmodulin 1 (phosphorylase kinase, delta)"
808,ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933,808; 808; 808; 808; 808; 808,OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850,CALM3; CALM2; CALM3; CALM2; CALM3; CALM2,"calmodulin 1 (phosphorylase kinase, delta)"
808,ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933; ENSG00000160014; ENSG00000143933,808; 808; 808; 808; 808; 808,OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850; OTTHUMG00000133517; OTTHUMG00000128850,CALM3; CALM2; CALM3; CALM2; CALM3; CALM2,"calmodulin 1 (phosphorylase kinase, delta)"
810,ENSG00000178363,810,OTTHUMG00000017597,CALML3,calmodulin-like 3
811,ENSG00000179218,811,OTTHUMG00000180574,CALR,calreticulin
813,ENSG00000128595,813,OTTHUMG00000158274,CALU,calumenin
814,ENSG00000152495,814,OTTHUMG00000128792,CAMK4,calcium/calmodulin-dependent protein kinase IV
817,ENSG00000145349,817,OTTHUMG00000132910,CAMK2D,calcium/calmodulin-dependent protein kinase II delta
818,ENSG00000148660,818,OTTHUMG00000018492,CAMK2G,calcium/calmodulin-dependent protein kinase II gamma
821,ENSG00000127022,821,OTTHUMG00000130910,CANX,calnexin
822,ENSG00000042493,822,OTTHUMG00000130183,CAPG,"capping protein (actin filament), gelsolin-like"
824,ENSG00000162909,824,OTTHUMG00000037376,CAPN2,"calpain 2, (m/II) large subunit"
826,ENSG00000126247,826,OTTHUMG00000160811,CAPNS1,"calpain, small subunit 1"
827,ENSG00000077274,827,OTTHUMG00000022203,CAPN6,calpain 6
833,ENSG00000110619,833,OTTHUMG00000010927,CARS,cysteinyl-tRNA synthetase
834,ENSG00000137752,834,OTTHUMG00000048072,CASP1,"caspase 1, apoptosis-related cysteine peptidase"
837,ENSG00000196954,837,OTTHUMG00000166078,CASP4,"caspase 4, apoptosis-related cysteine peptidase"
840,ENSG00000165806,840,OTTHUMG00000019076,CASP7,"caspase 7, apoptosis-related cysteine peptidase"
845,ENSG00000118729,845,OTTHUMG00000011970,CASQ2,calsequestrin 2 (cardiac muscle)
857,ENSG00000105974,857,OTTHUMG00000023413,CAV1,"caveolin 1, caveolae protein, 22kDa"
858,ENSG00000105971,858,OTTHUMG00000023414,CAV2,caveolin 2
860,ENSG00000124813,860,OTTHUMG00000014774,RUNX2,runt-related transcription factor 2
864,ENSG00000020633,864,OTTHUMG00000003316,RUNX3,runt-related transcription factor 3
866,ENSG00000170099,866,OTTHUMG00000171346,SERPINA6,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6"
868,ENSG00000114423,868,OTTHUMG00000150654,CBLB,"Cbl proto-oncogene, E3 ubiquitin protein ligase B"
871,ENSG00000149257,871,OTTHUMG00000165362,SERPINH1,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"
883,ENSG00000171097,883,OTTHUMG00000020767,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic"
885,ENSG00000187094,885,OTTHUMG00000131796,CCK,cholecystokinin
890,ENSG00000145386,890,OTTHUMG00000133072,CCNA2,cyclin A2
900,ENSG00000113328,900,OTTHUMG00000130380,CCNG1,cyclin G1
901,ENSG00000138764,901,OTTHUMG00000130100,CCNG2,cyclin G2
904,ENSG00000129315,904,OTTHUMG00000170393,CCNT1,cyclin T1
908,ENSG00000146731,908,OTTHUMG00000022842,CCT6A,"chaperonin containing TCP1, subunit 6A (zeta 1)"
919,ENSG00000198821,919,OTTHUMG00000034593,CD247,CD247 molecule
928,ENSG00000010278,928,OTTHUMG00000044400,CD9,CD9 molecule
929,ENSG00000170458,929,OTTHUMG00000129507,CD14,CD14 molecule
932,ENSG00000149516,932,OTTHUMG00000167380,MS4A3,"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)"
933,ENSG00000012124,933,OTTHUMG00000183298,CD22,CD22 molecule
952,ENSG00000004468,952,OTTHUMG00000048206,CD38,CD38 molecule
954,ENSG00000054179,954,OTTHUMG00000020953,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
957,ENSG00000187097,957,OTTHUMG00000171201,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5
958,ENSG00000101017,958,OTTHUMG00000033053,CD40,"CD40 molecule, TNF receptor superfamily member 5"
960,ENSG00000026508,960,OTTHUMG00000044388,CD44,CD44 molecule (Indian blood group)
967,ENSG00000135404,967,OTTHUMG00000170454,CD63,CD63 molecule
968,ENSG00000129226,968,OTTHUMG00000108146,CD68,CD68 molecule
971,ENSG00000137101,971,OTTHUMG00000019870,CD72,CD72 molecule
972,ENSG00000019582,972,OTTHUMG00000163559,CD74,"CD74 molecule, major histocompatibility complex, class II invariant chain"
976,ENSG00000123146,976,OTTHUMG00000182166,CD97,CD97 molecule
977,ENSG00000177697,977,OTTHUMG00000133311,CD151,CD151 molecule (Raph blood group)
987,ENSG00000198589,987,OTTHUMG00000161443,LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing"
988,ENSG00000096401,988,OTTHUMG00000014767,CDC5L,CDC5 cell division cycle 5-like (S. pombe)
990,ENSG00000094804,990,OTTHUMG00000133324,CDC6,cell division cycle 6 homolog (S. cerevisiae)
995,ENSG00000158402,995,OTTHUMG00000129203,CDC25C,cell division cycle 25 homolog C (S. pombe)
997,ENSG00000099804,997,OTTHUMG00000180558,CDC34,cell division cycle 34 homolog (S. cerevisiae)
998,ENSG00000070831,998,OTTHUMG00000002753,CDC42,"cell division cycle 42 (GTP binding protein, 25kDa)"
999,ENSG00000039068,999,OTTHUMG00000137561,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)"
1002,ENSG00000179242,1002,OTTHUMG00000032890,CDH4,"cadherin 4, type 1, R-cadherin (retinal)"
1010,ENSG00000154162,1010,OTTHUMG00000090591,CDH12,"cadherin 12, type 2 (N-cadherin 2)"
1012,ENSG00000140945,1012,OTTHUMG00000176635,CDH13,"cadherin 13, H-cadherin (heart)"
1015,ENSG00000079112,1015,OTTHUMG00000164391,CDH17,"cadherin 17, LI cadherin (liver-intestine)"
1016,ENSG00000145526,1016,OTTHUMG00000090578,CDH18,"cadherin 18, type 2"
1019,ENSG00000135446,1019,OTTHUMG00000170382,CDK4,cyclin-dependent kinase 4
1022,ENSG00000134058,1022,OTTHUMG00000099358,CDK7,cyclin-dependent kinase 7
1026,ENSG00000124762,1026,OTTHUMG00000014603,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
1031,ENSG00000123080,1031,OTTHUMG00000008046,CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
1033,ENSG00000100526,1033,OTTHUMG00000140302,CDKN3,cyclin-dependent kinase inhibitor 3
1047,ENSG00000153132,1047,OTTHUMG00000133414,CLGN,calmegin
1051,ENSG00000172216,1051,OTTHUMG00000032715,CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta"
1053,ENSG00000092067,1053,OTTHUMG00000028719,CEBPE,"CCAAT/enhancer binding protein (C/EBP), epsilon"
1054,ENSG00000153879,1054,OTTHUMG00000180469,CEBPG,"CCAAT/enhancer binding protein (C/EBP), gamma"
1058,ENSG00000115163,1058,OTTHUMG00000097073,CENPA,centromere protein A
1063,ENSG00000117724,1063,OTTHUMG00000036955,CENPF,"centromere protein F, 350/400kDa (mitosin)"
1071,ENSG00000087237,1071,OTTHUMG00000133279,CETP,"cholesteryl ester transfer protein, plasma"
1075,ENSG00000109861,1075,OTTHUMG00000167290,CTSC,cathepsin C
1104,ENSG00000180198,1104,OTTHUMG00000003645,RCC1,regulator of chromosome condensation 1
1105,ENSG00000153922,1105,OTTHUMG00000162744,CHD1,chromodomain helicase DNA binding protein 1
1111,ENSG00000149554,1111,OTTHUMG00000165853,CHEK1,checkpoint kinase 1
1113,ENSG00000100604,1113,OTTHUMG00000171225,CHGA,chromogranin A (parathyroid secretory protein 1)
1116,ENSG00000133048,1116,OTTHUMG00000042122,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39)
1122,ENSG00000203668,1122,OTTHUMG00000039690,CHML,choroideremia-like (Rab escort protein 2)
1124,ENSG00000106069,1124,OTTHUMG00000023063,CHN2,chimerin (chimaerin) 2
1130,ENSG00000143669,1130,OTTHUMG00000040527,LYST,lysosomal trafficking regulator
1131,ENSG00000133019,1131,OTTHUMG00000039649,CHRM3,"cholinergic receptor, muscarinic 3"
1140,ENSG00000170175,1140,OTTHUMG00000108139,CHRNB1,"cholinergic receptor, nicotinic, beta 1 (muscle)"
1143,ENSG00000117971,1143,OTTHUMG00000143860,CHRNB4,"cholinergic receptor, nicotinic, beta 4 (neuronal)"
1149,ENSG00000176194,1149,OTTHUMG00000131691,CIDEA,cell death-inducing DFFA-like effector a
1158,ENSG00000104879,1158,OTTHUMG00000181782,CKM,"creatine kinase, muscle"
1163,ENSG00000173207,1163,OTTHUMG00000037413,CKS1B,CDC28 protein kinase regulatory subunit 1B
1173,ENSG00000161203,1173,OTTHUMG00000156822,AP2M1,"adaptor-related protein complex 2, mu 1 subunit"
