23512,,,,,
All IDs for Suz12,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
362,ENSG00000161798,362,OTTHUMG00000169710,AQP5,aquaporin 5
398,ENSG00000242173,398,OTTHUMG00000064892,ARHGDIG,Rho GDP dissociation inhibitor (GDI) gamma
401,ENSG00000165462,401,OTTHUMG00000167899,PHOX2A,paired-like homeobox 2a
406,ENSG00000133794,406,OTTHUMG00000150623,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
429,ENSG00000139352,429,OTTHUMG00000169967,ASCL1,achaete-scute complex homolog 1 (Drosophila)
432,ENSG00000141505,432,OTTHUMG00000102159,ASGR1,asialoglycoprotein receptor 1
460,ENSG00000152092,460,OTTHUMG00000035041,ASTN1,astrotactin 1
463,ENSG00000140836,463,OTTHUMG00000137599,ZFHX3,zinc finger homeobox 3
474,ENSG00000172238,474,OTTHUMG00000130972,ATOH1,atonal homolog 1 (Drosophila)
478,ENSG00000105409,478,OTTHUMG00000137384,ATP1A3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
492,ENSG00000067842,492,OTTHUMG00000024202,ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3"
525,ENSG00000116039,525,OTTHUMG00000129711,ATP6V1B1,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1"
547,ENSG00000130294,547,OTTHUMG00000151940,KIF1A,kinesin family member 1A
551,ENSG00000101200,551,OTTHUMG00000031733,AVP,arginine vasopressin
552,ENSG00000166148,552,OTTHUMG00000169980,AVPR1A,arginine vasopressin receptor 1A
553,ENSG00000198049,553,OTTHUMG00000036119,AVPR1B,arginine vasopressin receptor 1B
579,ENSG00000109705,579,OTTHUMG00000090657,NKX3-2,NK3 homeobox 2
610,ENSG00000099822,610,OTTHUMG00000180590,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2
627,ENSG00000176697,627,OTTHUMG00000178797,BDNF,brain-derived neurotrophic factor
635,ENSG00000145692,635,OTTHUMG00000108157,BHMT,betaine--homocysteine S-methyltransferase
644,ENSG00000106605,644,OTTHUMG00000128953,BLVRA,biliverdin reductase A
645,ENSG00000090013,645,OTTHUMG00000182593,BLVRB,biliverdin reductase B (flavin reductase (NADPH))
646,ENSG00000169594,646,OTTHUMG00000147362,BNC1,basonuclin 1
649,ENSG00000168487,649,OTTHUMG00000097761,BMP1,bone morphogenetic protein 1
652,ENSG00000125378,652,OTTHUMG00000140303,BMP4,bone morphogenetic protein 4
654,ENSG00000153162,654,OTTHUMG00000014217,BMP6,bone morphogenetic protein 6
655,ENSG00000101144,655,OTTHUMG00000032812,BMP7,bone morphogenetic protein 7
656,ENSG00000116985,656,OTTHUMG00000009247,BMP8B,bone morphogenetic protein 8b
668,ENSG00000183770,668,OTTHUMG00000159889,FOXL2,forkhead box L2
696,ENSG00000124557,696,OTTHUMG00000016358,BTN1A1,"butyrophilin, subfamily 1, member A1"
776,ENSG00000157388,776,OTTHUMG00000158278,CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit"
782,ENSG00000067191,782,OTTHUMG00000133217,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit"
785,ENSG00000182389,785,OTTHUMG00000155091,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit"
796,ENSG00000110680,796,OTTHUMG00000159731,CALCA,calcitonin-related polypeptide alpha
815,ENSG00000070808,815,OTTHUMG00000134281,CAMK2A,calcium/calmodulin-dependent protein kinase II alpha
844,ENSG00000143318,844,OTTHUMG00000031607,CASQ1,"calsequestrin 1 (fast-twitch, skeletal muscle)"
846,ENSG00000036828,846,OTTHUMG00000159491,CASR,calcium-sensing receptor
869,ENSG00000102924,869,OTTHUMG00000133148,CBLN1,cerebellin 1 precursor
874,ENSG00000159231,874,OTTHUMG00000086617,CBR3,carbonyl reductase 3
887,ENSG00000110148,887,OTTHUMG00000133380,CCKBR,cholecystokinin B receptor
894,ENSG00000118971,894,OTTHUMG00000168123,CCND2,cyclin D2
896,ENSG00000112576,896,OTTHUMG00000014690,CCND3,cyclin D3
924,ENSG00000173762,924,OTTHUMG00000178662,CD7,CD7 molecule
947,ENSG00000174059,947,OTTHUMG00000036565,CD34,CD34 molecule
952,ENSG00000004468,952,OTTHUMG00000048206,CD38,CD38 molecule
954,ENSG00000054179,954,OTTHUMG00000020953,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
956,ENSG00000168032,956,OTTHUMG00000131390,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
1009,ENSG00000140937,1009,OTTHUMG00000137494,CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)"
1019,ENSG00000135446,1019,OTTHUMG00000170382,CDK4,cyclin-dependent kinase 4
1029,ENSG00000147889,1029,OTTHUMG00000019686,CDKN2A,cyclin-dependent kinase inhibitor 2A
1030,ENSG00000147883,1030,OTTHUMG00000019691,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
1045,ENSG00000165556,1045,OTTHUMG00000016640,CDX2,caudal type homeobox 2
1050,ENSG00000245848,1050,OTTHUMG00000161461,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha"
1103,ENSG00000070748,1103,OTTHUMG00000018198,CHAT,choline O-acetyltransferase
1113,ENSG00000100604,1113,OTTHUMG00000171225,CHGA,chromogranin A (parathyroid secretory protein 1)
1120,ENSG00000100288,1120,OTTHUMG00000150275,CHKB,choline kinase beta
1129,ENSG00000181072,1129,OTTHUMG00000155658,CHRM2,"cholinergic receptor, muscarinic 2"
1131,ENSG00000133019,1131,OTTHUMG00000039649,CHRM3,"cholinergic receptor, muscarinic 3"
1132,ENSG00000180720,1132,OTTHUMG00000154371,CHRM4,"cholinergic receptor, muscarinic 4"
1144,ENSG00000135902,1144,OTTHUMG00000133261,CHRND,"cholinergic receptor, nicotinic, delta (muscle)"
1261,ENSG00000144191,1261,OTTHUMG00000130561,CNGA3,cyclic nucleotide gated channel alpha 3
1271,ENSG00000122756,1271,OTTHUMG00000019821,CNTFR,ciliary neurotrophic factor receptor
1280,ENSG00000139219,1280,OTTHUMG00000149896,COL2A1,"collagen, type II, alpha 1"
1298,ENSG00000049089,1298,OTTHUMG00000005761,COL9A2,"collagen, type IX, alpha 2"
1303,ENSG00000111799,1303,OTTHUMG00000015051,COL12A1,"collagen, type XII, alpha 1"
1306,ENSG00000204291,1306,OTTHUMG00000020351,COL15A1,"collagen, type XV, alpha 1"
1311,ENSG00000105664,1311,OTTHUMG00000169318,COMP,cartilage oligomeric matrix protein
1380,ENSG00000117322,1380,OTTHUMG00000036307,CR2,complement component (3d/Epstein Barr virus) receptor 2
1393,ENSG00000145708,1393,OTTHUMG00000102133,CRHBP,corticotropin releasing hormone binding protein
1400,ENSG00000072832,1400,OTTHUMG00000125489,CRMP1,collapsin response mediator protein 1
1412,ENSG00000163499,1412,OTTHUMG00000133084,CRYBA2,"crystallin, beta A2"
1438,ENSG00000198223,1438,OTTHUMG00000012533,CSF2RA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
1453,ENSG00000141551,1453,OTTHUMG00000178601,CSNK1D,"casein kinase 1, delta"
1482,ENSG00000183072,1482,OTTHUMG00000130522,NKX2-5,NK2 homeobox 5
1514,ENSG00000135047,1514,OTTHUMG00000020149,CTSL1,cathepsin L1
1584,ENSG00000160882,1584,OTTHUMG00000164637,CYP11B1,"cytochrome P450, family 11, subfamily B, polypeptide 1"
1592,ENSG00000095596,1592,OTTHUMG00000018765,CYP26A1,"cytochrome P450, family 26, subfamily A, polypeptide 1"
1608,ENSG00000058866,1608,OTTHUMG00000156617,DGKG,"diacylglycerol kinase, gamma 90kDa"
1630,ENSG00000187323,1630,OTTHUMG00000132698,DCC,deleted in colorectal carcinoma
1735,ENSG00000197406,1735,OTTHUMG00000160681,DIO3,N/A
1745,ENSG00000144355,1745,OTTHUMG00000073951,DLX1,distal-less homeobox 1
1746,ENSG00000115844,1746,OTTHUMG00000132276,DLX2,distal-less homeobox 2
1747,ENSG00000064195,1747,OTTHUMG00000161892,DLX3,distal-less homeobox 3
1748,ENSG00000108813,1748,OTTHUMG00000161839,DLX4,distal-less homeobox 4
1749,ENSG00000105880,1749,OTTHUMG00000154200,DLX5,distal-less homeobox 5
1750,ENSG00000006377,1750,OTTHUMG00000154201,DLX6,distal-less homeobox 6
1761,ENSG00000137090,1761,OTTHUMG00000019435,DMRT1,doublesex and mab-3 related transcription factor 1
1769,ENSG00000124721,1769,OTTHUMG00000016253,DNAH8,"dynein, axonemal, heavy chain 8"
1804,ENSG00000130226,1804,OTTHUMG00000151511,DPP6,dipeptidyl-peptidase 6
1808,ENSG00000092964,1808,OTTHUMG00000099439,DPYSL2,dihydropyrimidinase-like 2
1813,ENSG00000149295,1813,OTTHUMG00000167717,DRD2,dopamine receptor D2
1825,ENSG00000134762,1825,OTTHUMG00000179622,DSC3,desmocollin 3
1826,ENSG00000171587,1826,OTTHUMG00000086732,DSCAM,Down syndrome cell adhesion molecule
1827,ENSG00000159200,1827,OTTHUMG00000086235,RCAN1,regulator of calcineurin 1
1846,ENSG00000120875,1846,OTTHUMG00000133395,DUSP4,dual specificity phosphatase 4
1848,ENSG00000139318,1848,OTTHUMG00000169912,DUSP6,dual specificity phosphatase 6
1852,ENSG00000130829,1852,OTTHUMG00000024211,DUSP9,dual specificity phosphatase 9
1874,ENSG00000205250,1874,OTTHUMG00000172975,E2F4,"E2F transcription factor 4, p107/p130-binding"
1879,ENSG00000164330,1879,OTTHUMG00000130304,EBF1,early B-cell factor 1
1908,ENSG00000124205,1908,OTTHUMG00000032867,EDN3,endothelin 3
1912,ENSG00000134686,1912,OTTHUMG00000004133,PHC2,polyhomeotic homolog 2 (Drosophila)
1942,ENSG00000169242,1942,OTTHUMG00000035312,EFNA1,ephrin-A1
1943,ENSG00000099617,1943,OTTHUMG00000180148,EFNA2,ephrin-A2
1960,ENSG00000179388,1960,OTTHUMG00000097825,EGR3,early growth response 3
1961,ENSG00000135625,1961,OTTHUMG00000129774,EGR4,early growth response 4
1962,ENSG00000113790,1962,OTTHUMG00000156698,EHHADH,"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase"
1993,ENSG00000107105,1993,OTTHUMG00000019700,ELAVL2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)"
2016,ENSG00000135638,2016,OTTHUMG00000129778,EMX1,empty spiracles homeobox 1
2018,ENSG00000170370,2018,OTTHUMG00000019123,EMX2,empty spiracles homeobox 2
2019,ENSG00000163064,2019,OTTHUMG00000131401,EN1,engrailed homeobox 1
2020,ENSG00000164778,2020,OTTHUMG00000151354,EN2,engrailed homeobox 2
2036,ENSG00000088367,2036,OTTHUMG00000032378,EPB41L1,erythrocyte membrane protein band 4.1-like 1
2039,ENSG00000158856,2039,OTTHUMG00000097087,EPB49,erythrocyte membrane protein band 4.9 (dematin)
2043,ENSG00000116106,2043,OTTHUMG00000133142,EPHA4,EPH receptor A4
2049,ENSG00000182580,2049,OTTHUMG00000156710,EPHB3,EPH receptor B3
2066,ENSG00000178568,2066,OTTHUMG00000133012,ERBB4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
2070,ENSG00000112319,2070,OTTHUMG00000015602,EYA4,eyes absent homolog 4 (Drosophila)
2078,ENSG00000157554,2078,OTTHUMG00000090767,ERG,v-ets erythroblastosis virus E26 oncogene homolog (avian)
2104,ENSG00000196482,2104,OTTHUMG00000037025,ESRRG,estrogen-related receptor gamma
2122,ENSG00000085276,2122,OTTHUMG00000158596,MECOM,MDS1 and EVI1 complex locus
2128,ENSG00000106038,2128,OTTHUMG00000023093,EVX1,even-skipped homeobox 1
2139,ENSG00000064655,2139,OTTHUMG00000033041,EYA2,eyes absent homolog 2 (Drosophila)
2149,ENSG00000181104,2149,OTTHUMG00000131299,F2R,coagulation factor II (thrombin) receptor
2155,ENSG00000057593,2155,OTTHUMG00000017373,F7,coagulation factor VII (serum prothrombin conversion accelerator)
2159,ENSG00000126218,2159,OTTHUMG00000017374,F10,coagulation factor X
2248,ENSG00000186895,2248,OTTHUMG00000167888,FGF3,fibroblast growth factor 3
2250,ENSG00000138675,2250,OTTHUMG00000130288,FGF5,fibroblast growth factor 5
2253,ENSG00000107831,2253,OTTHUMG00000018940,FGF8,fibroblast growth factor 8 (androgen-induced)
2254,ENSG00000102678,2254,OTTHUMG00000017412,FGF9,fibroblast growth factor 9 (glia-activating factor)
2268,ENSG00000000938,2268,OTTHUMG00000003516,FGR,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog
2290,ENSG00000176165,2290,OTTHUMG00000140187,FOXG1,forkhead box G1
2294,ENSG00000103241,2294,OTTHUMG00000137651,FOXF1,forkhead box F1
2295,ENSG00000137273,2295,OTTHUMG00000016243,FOXF2,forkhead box F2
2296,ENSG00000054598,2296,OTTHUMG00000016182,FOXC1,forkhead box C1
2297,ENSG00000251493,2297,OTTHUMG00000162495,FOXD1,forkhead box D1
2298,ENSG00000170122,2298,OTTHUMG00000021015,FOXD4,forkhead box D4
2300,ENSG00000176678,2300,OTTHUMG00000137653,FOXL1,forkhead box L1
2301,ENSG00000186790,2301,OTTHUMG00000007954,FOXE3,forkhead box E3
2302,ENSG00000129654,2302,OTTHUMG00000180120,FOXJ1,forkhead box J1
2303,ENSG00000176692,2303,OTTHUMG00000137652,FOXC2,"forkhead box C2 (MFH-1, mesenchyme forkhead 1)"
2304,ENSG00000178919,2304,OTTHUMG00000020333,FOXE1,forkhead box E1 (thyroid transcription factor 2)
2306,ENSG00000186564,2306,OTTHUMG00000007950,FOXD2,forkhead box D2
2313,ENSG00000151702,2313,OTTHUMG00000165792,FLI1,Friend leukemia virus integration 1
2318,ENSG00000128591,2318,OTTHUMG00000023627,FLNC,"filamin C, gamma"
2487,ENSG00000162998,2487,OTTHUMG00000132597,FRZB,frizzled-related protein
2494,ENSG00000116833,2494,OTTHUMG00000035635,NR5A2,"nuclear receptor subfamily 5, group A, member 2"
2516,ENSG00000136931,2516,OTTHUMG00000020655,NR5A1,"nuclear receptor subfamily 5, group A, member 1"
2517,ENSG00000179163,2517,OTTHUMG00000002965,FUCA1,"fucosidase, alpha-L- 1, tissue"
2535,ENSG00000180340,2535,OTTHUMG00000181819,FZD2,frizzled family receptor 2
2557,ENSG00000109158,2557,OTTHUMG00000099431,GABRA4,"gamma-aminobutyric acid (GABA) A receptor, alpha 4"
2560,ENSG00000163288,2560,OTTHUMG00000044269,GABRB1,"gamma-aminobutyric acid (GABA) A receptor, beta 1"
2572,ENSG00000136750,2572,OTTHUMG00000017836,GAD2,"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"
2583,ENSG00000135454,2583,OTTHUMG00000170190,B4GALNT1,"beta-1,4-N-acetyl-galactosaminyl transferase 1"
2587,ENSG00000166573,2587,OTTHUMG00000132875,GALR1,galanin receptor 1
2624,ENSG00000179348,2624,OTTHUMG00000159689,GATA2,GATA binding protein 2
2625,ENSG00000107485,2625,OTTHUMG00000017640,GATA3,GATA binding protein 3
2626,ENSG00000136574,2626,OTTHUMG00000090800,GATA4,GATA binding protein 4
2627,ENSG00000141448,2627,OTTHUMG00000131767,GATA6,GATA binding protein 6
2637,ENSG00000168505,2637,OTTHUMG00000133294,GBX2,gastrulation brain homeobox 2
2642,ENSG00000215644,2642,OTTHUMG00000177914,GCGR,glucagon receptor
2668,ENSG00000168621,2668,OTTHUMG00000090809,GDNF,glial cell derived neurotrophic factor
2672,ENSG00000162676,2672,OTTHUMG00000010897,GFI1,growth factor independent 1 transcription repressor
2674,ENSG00000151892,2674,OTTHUMG00000019097,GFRA1,GDNF family receptor alpha 1
2693,ENSG00000121853,2693,OTTHUMG00000156946,GHSR,growth hormone secretagogue receptor
2707,ENSG00000188910,2707,OTTHUMG00000004051,GJB3,"gap junction protein, beta 3, 31kDa"
2731,ENSG00000178445,2731,OTTHUMG00000019524,GLDC,glycine dehydrogenase (decarboxylating)
2778,ENSG00000087460,2778,OTTHUMG00000033069,GNAS,GNAS complex locus
2812,ENSG00000203618,2812,OTTHUMG00000150397,GP1BB,"glycoprotein Ib (platelet), beta polypeptide"
2814,ENSG00000178732,2814,OTTHUMG00000150345,GP5,glycoprotein V (platelet)
2831,ENSG00000183729,2831,OTTHUMG00000164275,NPBWR1,neuropeptides B/W receptor 1
2835,ENSG00000132975,2835,OTTHUMG00000016620,GPR12,G protein-coupled receptor 12
2849,ENSG00000154478,2849,OTTHUMG00000019204,GPR26,G protein-coupled receptor 26
2850,ENSG00000170837,2850,OTTHUMG00000158810,GPR27,G protein-coupled receptor 27
2862,ENSG00000102539,2862,OTTHUMG00000016909,MLNR,motilin receptor
2870,ENSG00000198055,2870,OTTHUMG00000163401,GRK6,G protein-coupled receptor kinase 6
2894,ENSG00000182771,2894,OTTHUMG00000018650,GRID1,"glutamate receptor, ionotropic, delta 1"
2899,ENSG00000163873,2899,OTTHUMG00000004189,GRIK3,"glutamate receptor, ionotropic, kainate 3"
2902,ENSG00000176884,2902,OTTHUMG00000020976,GRIN1,"glutamate receptor, ionotropic, N-methyl D-aspartate 1"
2904,ENSG00000150086,2904,OTTHUMG00000137373,GRIN2B,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"
2906,ENSG00000105464,2906,OTTHUMG00000183304,GRIN2D,"glutamate receptor, ionotropic, N-methyl D-aspartate 2D"
2922,ENSG00000134443,2922,OTTHUMG00000132760,GRP,gastrin-releasing peptide
2928,ENSG00000063515,2928,OTTHUMG00000150122,GSC2,goosecoid homeobox 2
2982,ENSG00000164116,2982,OTTHUMG00000161700,GUCY1A3,"guanylate cyclase 1, soluble, alpha 3"
3000,ENSG00000132518,3000,OTTHUMG00000108169,GUCY2D,"guanylate cyclase 2D, membrane (retina-specific)"
3040,ENSG00000206172; ENSG00000206172,3040; 3040,OTTHUMG00000060138; OTTHUMG00000060138,HBA1; HBA1,"hemoglobin, alpha 2"
3040,ENSG00000206172; ENSG00000206172,3040; 3040,OTTHUMG00000060138; OTTHUMG00000060138,HBA1; HBA1,"hemoglobin, alpha 2"
3043,ENSG00000244734,3043,OTTHUMG00000066678,HBB,"hemoglobin, beta"
3045,ENSG00000223609,3045,OTTHUMG00000066674,HBD,"hemoglobin, delta"
3049,ENSG00000086506,3049,OTTHUMG00000060727,HBQ1,"hemoglobin, theta 1"
3060,ENSG00000161610,3060,OTTHUMG00000180107,HCRT,hypocretin (orexin) neuropeptide precursor
3084,ENSG00000157168,3084,OTTHUMG00000163918,NRG1,neuregulin 1
3087,ENSG00000152804,3087,OTTHUMG00000018762,HHEX,hematopoietically expressed homeobox
3090,ENSG00000177374,3090,OTTHUMG00000177635,HIC1,hypermethylated in cancer 1
3110,ENSG00000130675,3110,OTTHUMG00000157181,MNX1,motor neuron and pancreas homeobox 1
3142,ENSG00000136630,3142,OTTHUMG00000037352,HLX,H2.0-like homeobox
3166,ENSG00000215612,3166,OTTHUMG00000160012,HMX1,H6 family homeobox 1
3167,ENSG00000188816,3167,OTTHUMG00000019198,HMX2,H6 family homeobox 2
3169,ENSG00000129514,3169,OTTHUMG00000140253,FOXA1,forkhead box A1
3170,ENSG00000125798,3170,OTTHUMG00000032041,FOXA2,forkhead box A2
3175,ENSG00000169856,3175,OTTHUMG00000131899,ONECUT1,one cut homeobox 1
3195,ENSG00000107807,3195,OTTHUMG00000019341,TLX1,T-cell leukemia homeobox 1
3196,ENSG00000115297,3196,OTTHUMG00000129960,TLX2,T-cell leukemia homeobox 2
3198,ENSG00000105991,3198,OTTHUMG00000023207,HOXA1,homeobox A1
3199,ENSG00000105996,3199,OTTHUMG00000023208,HOXA2,homeobox A2
3200,ENSG00000105997,3200,OTTHUMG00000023209,HOXA3,homeobox A3
3201,ENSG00000197576,3201,OTTHUMG00000023213,HOXA4,homeobox A4
3202,ENSG00000106004,3202,OTTHUMG00000023214,HOXA5,homeobox A5
3203,ENSG00000106006,3203,OTTHUMG00000023216,HOXA6,homeobox A6
3204,ENSG00000122592,3204,OTTHUMG00000023217,HOXA7,homeobox A7
3206,ENSG00000253293,3206,OTTHUMG00000023436,HOXA10,homeobox A10
3207,ENSG00000005073,3207,OTTHUMG00000023437,HOXA11,homeobox A11
3209,ENSG00000106031,3209,OTTHUMG00000023438,HOXA13,homeobox A13
3212,ENSG00000173917,3212,OTTHUMG00000159930,HOXB2,homeobox B2
3213,ENSG00000120093,3213,OTTHUMG00000159922,HOXB3,homeobox B3
3214,ENSG00000182742,3214,OTTHUMG00000159920,HOXB4,homeobox B4
3215,ENSG00000120075,3215,OTTHUMG00000159913,HOXB5,homeobox B5
3216,ENSG00000108511,3216,OTTHUMG00000159912,HOXB6,homeobox B6
3217,ENSG00000120087,3217,OTTHUMG00000170231,HOXB7,homeobox B7
3218,ENSG00000120068,3218,OTTHUMG00000159904,HOXB8,homeobox B8
3219,ENSG00000170689,3219,OTTHUMG00000159907,HOXB9,homeobox B9
3221,ENSG00000198353,3221,OTTHUMG00000160036,HOXC4,homeobox C4
3222,ENSG00000172789,3222,OTTHUMG00000160028,HOXC5,homeobox C5
3223,ENSG00000197757,3223,OTTHUMG00000160027,HOXC6,homeobox C6
3224,ENSG00000037965,3224,OTTHUMG00000160032,HOXC8,homeobox C8
3225,ENSG00000180806,3225,OTTHUMG00000160033,HOXC9,homeobox C9
3226,ENSG00000180818,3226,OTTHUMG00000160031,HOXC10,homeobox C10
3227,ENSG00000123388,3227,OTTHUMG00000160011,HOXC11,homeobox C11
3228,ENSG00000123407,3228,OTTHUMG00000160010,HOXC12,homeobox C12
3229,ENSG00000123364,3229,OTTHUMG00000160008,HOXC13,homeobox C13
3231,ENSG00000128645,3231,OTTHUMG00000132512,HOXD1,homeobox D1
3232,ENSG00000128652,3232,OTTHUMG00000132517,HOXD3,homeobox D3
3233,ENSG00000170166,3233,OTTHUMG00000132515,HOXD4,homeobox D4
3234,ENSG00000175879,3234,OTTHUMG00000132513,HOXD8,homeobox D8
3235,ENSG00000128709,3235,OTTHUMG00000132516,HOXD9,homeobox D9
3236,ENSG00000128710,3236,OTTHUMG00000132511,HOXD10,homeobox D10
3237,ENSG00000128713,3237,OTTHUMG00000132510,HOXD11,homeobox D11
3238,ENSG00000170178,3238,OTTHUMG00000150358,HOXD12,homeobox D12
3239,ENSG00000128714,3239,OTTHUMG00000132431,HOXD13,homeobox D13
3241,ENSG00000115756,3241,OTTHUMG00000090451,HPCAL1,hippocalcin-like 1
3291,ENSG00000176387,3291,OTTHUMG00000137507,HSD11B2,hydroxysteroid (11-beta) dehydrogenase 2
3299,ENSG00000102878,3299,OTTHUMG00000178325,HSF4,heat shock transcription factor 4
3362,ENSG00000158748,3362,OTTHUMG00000002713,HTR6,"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled"
3394,ENSG00000140968,3394,OTTHUMG00000137648,IRF8,interferon regulatory factor 8
3486,ENSG00000146674,3486,OTTHUMG00000023769,IGFBP3,insulin-like growth factor binding protein 3
3549,ENSG00000163501,3549,OTTHUMG00000154631,IHH,Indian hedgehog
3556,ENSG00000196083,3556,OTTHUMG00000156211,IL1RAP,interleukin 1 receptor accessory protein
3563,ENSG00000185291,3563,OTTHUMG00000021059,IL3RA,"interleukin 3 receptor, alpha (low affinity)"
3604,ENSG00000049249,3604,OTTHUMG00000001223,TNFRSF9,"tumor necrosis factor receptor superfamily, member 9"
3625,ENSG00000163083,3625,OTTHUMG00000131437,INHBB,"inhibin, beta B"
3632,ENSG00000068383,3632,OTTHUMG00000019293,INPP5A,"inositol polyphosphate-5-phosphatase, 40kDa"
3642,ENSG00000173404,3642,OTTHUMG00000032004,INSM1,insulinoma-associated 1
3645,ENSG00000027644,3645,OTTHUMG00000041291,INSRR,insulin receptor-related receptor
3651,ENSG00000139515,3651,OTTHUMG00000016638,PDX1,pancreatic and duodenal homeobox 1
3662,ENSG00000137265,3662,OTTHUMG00000016294,IRF4,interferon regulatory factor 4
3670,ENSG00000016082,3670,OTTHUMG00000162281,ISL1,ISL LIM homeobox 1
3687,ENSG00000140678,3687,OTTHUMG00000132465,ITGAX,"integrin, alpha X (complement component 3 receptor 4 subunit)"
3689,ENSG00000160255,3689,OTTHUMG00000090257,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
3690,ENSG00000259207,3690,OTTHUMG00000171956,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
3691,ENSG00000132470,3691,OTTHUMG00000179814,ITGB4,"integrin, beta 4"
3706,ENSG00000137825,3706,OTTHUMG00000130343,ITPKA,inositol-trisphosphate 3-kinase A
